countyFIPS,Estimate!!VETERAN STATUS!!Civilian population 18 years and over,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over,Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans
13165,6787.0,6787.0,503.0,7.4
13167,7801.0,7801.0,698.0,8.9
13169,21737.0,21737.0,2345.0,10.8
13171,14633.0,14633.0,1294.0,8.8
13173,7468.0,7468.0,886.0,11.9
13175,35673.0,35673.0,3312.0,9.3
13177,21453.0,21453.0,2251.0,10.5
13179,38971.0,38971.0,9472.0,24.3
13181,6267.0,6267.0,578.0,9.2
13183,12364.0,12364.0,2152.0,17.4
13185,84411.0,84411.0,8104.0,9.6
13187,26106.0,26106.0,2410.0,9.2
13189,15921.0,15921.0,1672.0,10.5
13191,11615.0,11615.0,1605.0,13.8
13193,10845.0,10845.0,784.0,7.2
13195,22220.0,22220.0,1841.0,8.3
13197,6832.0,6832.0,897.0,13.1
13199,16493.0,16493.0,1125.0,6.8
13201,4497.0,4497.0,261.0,5.8
13205,17220.0,17220.0,1313.0,7.6
13207,21358.0,21358.0,1924.0,9.0
13209,7139.0,7139.0,467.0,6.5
13211,14121.0,14121.0,1173.0,8.3
13213,29628.0,29628.0,1757.0,5.9
13215,141356.0,141356.0,20779.0,14.7
13217,77945.0,77945.0,7042.0,9.0
13219,27083.0,27083.0,1923.0,7.1
13221,11590.0,11590.0,993.0,8.6
13223,113709.0,113709.0,9162.0,8.1
13225,21059.0,21059.0,2144.0,10.2
13227,24368.0,24368.0,2779.0,11.4
13229,14322.0,14322.0,1048.0,7.3
13231,13762.0,13762.0,1192.0,8.7
13233,30817.0,30817.0,2612.0,8.5
13235,9302.0,9302.0,727.0,7.8
13237,17067.0,17067.0,1561.0,9.1
13239,1855.0,1855.0,132.0,7.1
13241,13661.0,13661.0,1430.0,10.5
13243,5263.0,5263.0,259.0,4.9
13245,149086.0,149086.0,19275.0,12.9
13247,66375.0,66375.0,6668.0,10.0
13249,3977.0,3977.0,320.0,8.0
13251,10913.0,10913.0,969.0,8.9
13253,6622.0,6622.0,574.0,8.7
13255,49182.0,49182.0,4437.0,9.0
13257,19932.0,19932.0,1730.0,8.7
13259,5229.0,5229.0,312.0,6.0
13261,23279.0,23279.0,1479.0,6.4
13263,5260.0,5260.0,540.0,10.3
13265,1423.0,1423.0,104.0,7.3
13267,20060.0,20060.0,1876.0,9.4
13269,6499.0,6499.0,360.0,5.5
13271,13372.0,13372.0,877.0,6.6
13273,6764.0,6764.0,507.0,7.5
13275,33904.0,33904.0,2921.0,8.6
13277,30430.0,30430.0,1771.0,5.8
13279,19786.0,19786.0,1566.0,7.9
13281,9931.0,9931.0,1150.0,11.6
13283,5195.0,5195.0,491.0,9.5
13285,52431.0,52431.0,4062.0,7.7
13287,6027.0,6027.0,672.0,11.1
13289,6676.0,6676.0,629.0,9.4
13291,19011.0,19011.0,2072.0,10.9
13293,20133.0,20133.0,1714.0,8.5
13295,53459.0,53459.0,4208.0,7.9
13297,67327.0,67327.0,5042.0,7.5
13299,27053.0,27053.0,2066.0,7.6
13301,4218.0,4218.0,192.0,4.6
13303,15894.0,15894.0,1135.0,7.1
13305,22366.0,22366.0,2198.0,9.8
13307,1988.0,1988.0,119.0,6.0
13309,6595.0,6595.0,454.0,6.9
13311,23045.0,23045.0,2403.0,10.4
13313,76388.0,76388.0,3813.0,5.0
