countyFIPS,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers
47005,5627,5627,4219,75.0,1043,18.5,346,6.1,19,0.3
47007,5739,5739,3949,68.8,1290,22.5,480,8.4,20,0.3
47009,59749,59749,49192,82.3,6696,11.2,3770,6.3,91,0.2
47011,47838,47838,39356,82.3,4617,9.7,3669,7.7,196,0.4
47013,15286,15286,11667,76.3,2444,16.0,1158,7.6,17,0.1
47015,6286,6286,4627,73.6,742,11.8,917,14.6,0,0.0
47017,10892,10892,7971,73.2,2027,18.6,851,7.8,43,0.4
47019,23008,23008,17737,77.1,3380,14.7,1865,8.1,26,0.1
47021,19619,19619,14494,73.9,3208,16.4,1914,9.8,3,0.0
47023,6840,6840,5299,77.5,1114,16.3,427,6.2,0,0.0
47025,11877,11877,9302,78.3,1661,14.0,886,7.5,28,0.2
47027,2717,2717,2017,74.2,471,17.3,210,7.7,19,0.7
47029,13973,13973,11060,79.2,2062,14.8,822,5.9,29,0.2
47031,23796,23796,18469,77.6,3323,14.0,1960,8.2,44,0.2
47033,6085,6085,4927,81.0,775,12.7,380,6.2,3,0.0
47035,21382,21382,16765,78.4,2804,13.1,1699,7.9,114,0.5
47037,373294,373294,309209,82.8,37789,10.1,25883,6.9,413,0.1
47039,4486,4486,3048,67.9,916,20.4,502,11.2,20,0.4
47041,7931,7931,6233,78.6,1270,16.0,404,5.1,24,0.3
47043,22818,22818,18295,80.2,2904,12.7,1619,7.1,0,0.0
47045,15976,15976,12337,77.2,2604,16.3,1035,6.5,0,0.0
47047,17629,17629,13949,79.1,2300,13.0,1371,7.8,9,0.1
47049,6640,6640,4754,71.6,1029,15.5,809,12.2,48,0.7
47051,18194,18194,13903,76.4,3032,16.7,1248,6.9,11,0.1
47053,19867,19867,15995,80.5,2508,12.6,1308,6.6,56,0.3
47055,12294,12294,9633,78.4,1739,14.1,900,7.3,22,0.2
47057,9651,9651,7324,75.9,1247,12.9,1071,11.1,9,0.1
47059,28254,28254,21898,77.5,4342,15.4,1913,6.8,101,0.4
47061,4756,4756,3469,72.9,748,15.7,518,10.9,21,0.4
47063,26125,26125,21814,83.5,2851,10.9,1428,5.5,32,0.1
47065,169798,169798,136635,80.5,21615,12.7,11319,6.7,229,0.1
47067,2295,2295,1500,65.4,514,22.4,281,12.2,0,0.0
47069,8021,8021,5516,68.8,2025,25.2,480,6.0,0,0.0
47071,9760,9760,7267,74.5,1573,16.1,912,9.3,8,0.1
47073,22014,22014,17569,79.8,3146,14.3,1296,5.9,3,0.0
47075,7648,7648,5835,76.3,1321,17.3,492,6.4,0,0.0
47077,11310,11310,8478,75.0,2083,18.4,749,6.6,0,0.0
47079,12437,12437,9404,75.6,1784,14.3,1234,9.9,15,0.1
47081,9771,9771,7363,75.4,1432,14.7,969,9.9,7,0.1
47083,2990,2990,2064,69.0,655,21.9,246,8.2,25,0.8
47085,7140,7140,5327,74.6,1230,17.2,562,7.9,21,0.3
47087,4335,4335,3377,77.9,609,14.0,325,7.5,24,0.6
47089,22913,22913,17895,78.1,3360,14.7,1644,7.2,14,0.1
47091,5810,5810,3920,67.5,1311,22.6,576,9.9,3,0.1
47093,226894,226894,179050,78.9,32975,14.5,14556,6.4,313,0.1
47095,1991,1991,1178,59.2,640,32.1,164,8.2,9,0.5
47097,9376,9376,6959,74.2,1801,19.2,597,6.4,19,0.2
47099,16131,16131,12205,75.7,2673,16.6,1222,7.6,31,0.2
47101,4941,4941,3863,78.2,622,12.6,456,9.2,0,0.0
47103,14678,14678,11336,77.2,2045,13.9,1177,8.0,120,0.8
47105,20653,20653,16285,78.9,2829,13.7,1522,7.4,17,0.1
47107,21141,21141,17060,80.7,2574,12.2,1471,7.0,36,0.2
47109,9278,9278,7040,75.9,1545,16.7,684,7.4,9,0.1
47111,10215,10215,7695,75.3,1434,14.0,1082,10.6,4,0.0
47113,43519,43519,35282,81.1,5631,12.9,2522,5.8,84,0.2
47115,12401,12401,9806,79.1,1724,13.9,869,7.0,2,0.0
