countyFIPS,Estimate!!HOUSEHOLDS BY TYPE!!Total households,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families),Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families),Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years",Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size
51157,2976.0,2976.0,1940.0,65.2,611.0,20.5,1539.0,51.7,455.0,15.3,131.0,4.4,32.0,1.1,270.0,9.1,124.0,4.2,1036.0,34.8,899.0,30.2,405.0,13.6,704.0,23.7,1262.0,42.4,2.46,(X),3.07,(X)
51159,3139.0,3139.0,2195.0,69.9,783.0,24.9,1781.0,56.7,658.0,21.0,116.0,3.7,58.0,1.8,298.0,9.5,67.0,2.1,944.0,30.1,834.0,26.6,434.0,13.8,860.0,27.4,1184.0,37.7,2.29,(X),2.76,(X)
51161,38343.0,38343.0,26150.0,68.2,10021.0,26.1,20494.0,53.4,7221.0,18.8,1370.0,3.6,673.0,1.8,4286.0,11.2,2127.0,5.5,12193.0,31.8,10366.0,27.0,5096.0,13.3,11248.0,29.3,13191.0,34.4,2.38,(X),2.9,(X)
51163,8979.0,8979.0,6110.0,68.0,1978.0,22.0,5019.0,55.9,1498.0,16.7,385.0,4.3,221.0,2.5,706.0,7.9,259.0,2.9,2869.0,32.0,2390.0,26.6,1435.0,16.0,2421.0,27.0,3801.0,42.3,2.48,(X),2.99,(X)
51165,30946.0,30946.0,22134.0,71.5,8376.0,27.1,17819.0,57.6,6310.0,20.4,1379.0,4.5,627.0,2.0,2936.0,9.5,1439.0,4.7,8812.0,28.5,7413.0,24.0,3505.0,11.3,9278.0,30.0,10418.0,33.7,2.51,(X),2.97,(X)
51167,10965.0,10965.0,7136.0,65.1,2180.0,19.9,5707.0,52.0,1577.0,14.4,437.0,4.0,111.0,1.0,992.0,9.0,492.0,4.5,3829.0,34.9,3470.0,31.6,1892.0,17.3,2553.0,23.3,4029.0,36.7,2.45,(X),3.08,(X)
51169,8767.0,8767.0,5671.0,64.7,1656.0,18.9,4610.0,52.6,1254.0,14.3,279.0,3.2,108.0,1.2,782.0,8.9,294.0,3.4,3096.0,35.3,2753.0,31.4,1319.0,15.0,2110.0,24.1,3359.0,38.3,2.43,(X),3.03,(X)
51171,17315.0,17315.0,11284.0,65.2,4211.0,24.3,8895.0,51.4,2877.0,16.6,675.0,3.9,419.0,2.4,1714.0,9.9,915.0,5.3,6031.0,34.8,5120.0,29.6,2442.0,14.1,4722.0,27.3,6336.0,36.6,2.46,(X),3.05,(X)
51173,12881.0,12881.0,8550.0,66.4,3232.0,25.1,6409.0,49.8,2096.0,16.3,648.0,5.0,421.0,3.3,1493.0,11.6,715.0,5.6,4331.0,33.6,3882.0,30.1,1697.0,13.2,3899.0,30.3,4394.0,34.1,2.35,(X),2.9,(X)
51175,6522.0,6522.0,4942.0,75.8,1962.0,30.1,3656.0,56.1,1178.0,18.1,301.0,4.6,188.0,2.9,985.0,15.1,596.0,9.1,1580.0,24.2,1430.0,21.9,702.0,10.8,2219.0,34.0,2109.0,32.3,2.51,(X),2.88,(X)
51177,43677.0,43677.0,33710.0,77.2,14578.0,33.4,26603.0,60.9,11035.0,25.3,1945.0,4.5,834.0,1.9,5162.0,11.8,2709.0,6.2,9967.0,22.8,7993.0,18.3,3067.0,7.0,16878.0,38.6,11558.0,26.5,3.0,(X),3.38,(X)
51179,46328.0,46328.0,37406.0,80.7,18480.0,39.9,29954.0,64.7,13977.0,30.2,2229.0,4.8,1367.0,3.0,5223.0,11.3,3136.0,6.8,8922.0,19.3,6941.0,15.0,2243.0,4.8,20388.0,44.0,9515.0,20.5,3.03,(X),3.35,(X)
51181,2760.0,2760.0,1984.0,71.9,562.0,20.4,1513.0,54.8,356.0,12.9,90.0,3.3,39.0,1.4,381.0,13.8,167.0,6.1,776.0,28.1,683.0,24.7,336.0,12.2,738.0,26.7,1056.0,38.3,2.39,(X),2.86,(X)
51183,3814.0,3814.0,2534.0,66.4,973.0,25.5,1625.0,42.6,511.0,13.4,176.0,4.6,76.0,2.0,733.0,19.2,386.0,10.1,1280.0,33.6,1085.0,28.4,532.0,13.9,1112.0,29.2,1468.0,38.5,2.06,(X),2.49,(X)
51185,17042.0,17042.0,11455.0,67.2,3530.0,20.7,8703.0,51.1,2601.0,15.3,788.0,4.6,372.0,2.2,1964.0,11.5,557.0,3.3,5587.0,32.8,5077.0,29.8,2540.0,14.9,4462.0,26.2,6253.0,36.7,2.38,(X),2.95,(X)
51187,14379.0,14379.0,9792.0,68.1,3725.0,25.9,7100.0,49.4,2488.0,17.3,841.0,5.8,290.0,2.0,1851.0,12.9,947.0,6.6,4587.0,31.9,3793.0,26.4,1488.0,10.3,4585.0,31.9,4196.0,29.2,2.69,(X),3.22,(X)
51191,22331.0,22331.0,14965.0,67.0,4901.0,21.9,11708.0,52.4,3506.0,15.7,694.0,3.1,211.0,0.9,2563.0,11.5,1184.0,5.3,7366.0,33.0,6689.0,30.0,2935.0,13.1,5830.0,26.1,8229.0,36.9,2.36,(X),2.88,(X)
51193,7612.0,7612.0,4634.0,60.9,1422.0,18.7,3712.0,48.8,1077.0,14.1,254.0,3.3,37.0,0.5,668.0,8.8,308.0,4.0,2978.0,39.1,2367.0,31.1,1139.0,15.0,1861.0,24.4,2964.0,38.9,2.3,(X),2.92,(X)
51195,15126.0,15126.0,10108.0,66.8,3851.0,25.5,7102.0,47.0,2416.0,16.0,639.0,4.2,232.0,1.5,2367.0,15.6,1203.0,8.0,5018.0,33.2,4171.0,27.6,1796.0,11.9,4605.0,30.4,4640.0,30.7,2.38,(X),2.86,(X)
51197,11955.0,11955.0,7903.0,66.1,2649.0,22.2,6200.0,51.9,1736.0,14.5,808.0,6.8,471.0,3.9,895.0,7.5,442.0,3.7,4052.0,33.9,3473.0,29.1,1635.0,13.7,3091.0,25.9,4134.0,34.6,2.4,(X),2.9,(X)
51199,24617.0,24617.0,19271.0,78.3,8710.0,35.4,15779.0,64.1,6498.0,26.4,971.0,3.9,689.0,2.8,2521.0,10.2,1523.0,6.2,5346.0,21.7,4346.0,17.7,2151.0,8.7,9409.0,38.2,7046.0,28.6,2.69,(X),3.03,(X)
