countyFIPS,Estimate!!RELATIONSHIP!!Population in households,Percent Estimate!!RELATIONSHIP!!Population in households,Estimate!!RELATIONSHIP!!Population in households!!Householder,Percent Estimate!!RELATIONSHIP!!Population in households!!Householder,Estimate!!RELATIONSHIP!!Population in households!!Spouse,Percent Estimate!!RELATIONSHIP!!Population in households!!Spouse,Estimate!!RELATIONSHIP!!Population in households!!Child,Percent Estimate!!RELATIONSHIP!!Population in households!!Child,Estimate!!RELATIONSHIP!!Population in households!!Other relatives,Percent Estimate!!RELATIONSHIP!!Population in households!!Other relatives,Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives,Percent Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives,Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner,Percent Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner
8025,4446.0,4446.0,1194.0,26.9,577.0,13.0,1760.0,39.6,558.0,12.6,357.0,8.0,53.0,1.2
8027,4627.0,4627.0,2083.0,45.0,1321.0,28.5,876.0,18.9,185.0,4.0,162.0,3.5,60.0,1.3
8029,29087.0,29087.0,11882.0,40.8,6426.0,22.1,7740.0,26.6,1803.0,6.2,1236.0,4.2,369.0,1.3
8031,678498.0,678498.0,294358.0,43.4,101387.0,14.9,165448.0,24.4,47105.0,6.9,70200.0,10.3,25174.0,3.7
8033,1841.0,1841.0,740.0,40.2,412.0,22.4,427.0,23.2,114.0,6.2,148.0,8.0,12.0,0.7
8035,327812.0,327812.0,117426.0,35.8,78684.0,24.0,109549.0,33.4,10673.0,3.3,11480.0,3.5,4999.0,1.5
8037,54273.0,54273.0,17750.0,32.7,10278.0,18.9,14420.0,26.6,2817.0,5.2,9008.0,16.6,1062.0,2.0
8039,25094.0,25094.0,9046.0,36.0,6140.0,24.5,7120.0,28.4,1724.0,6.9,1064.0,4.2,391.0,1.6
8041,669688.0,669688.0,253379.0,37.8,134738.0,20.1,205654.0,30.7,34802.0,5.2,41115.0,6.1,13990.0,2.1
8043,36347.0,36347.0,17163.0,47.2,8766.0,24.1,7820.0,21.5,1204.0,3.3,1394.0,3.8,916.0,2.5
8045,57618.0,57618.0,21138.0,36.7,12413.0,21.5,17022.0,29.5,3583.0,6.2,3462.0,6.0,1237.0,2.1
8047,5816.0,5816.0,2653.0,45.6,1400.0,24.1,1124.0,19.3,171.0,2.9,468.0,8.0,145.0,2.5
