countyFIPS,Estimate!!COMMUTING TO WORK!!Workers 16 years and over,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over,"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone","Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone","Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled","Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home,Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes)
8021,2799,2799,2090,74.7,452,16.1,2,0.1,58,2.1,43,1.5,154,5.5,22.0,(X)
8023,1248,1248,860,68.9,248,19.9,0,0.0,36,2.9,0,0.0,104,8.3,21.7,(X)
8025,1825,1825,1512,82.8,83,4.5,0,0.0,115,6.3,5,0.3,110,6.0,20.7,(X)
8027,1338,1338,876,65.5,98,7.3,0,0.0,77,5.8,4,0.3,283,21.2,25.8,(X)
8029,10620,10620,7876,74.2,1265,11.9,55,0.5,381,3.6,127,1.2,916,8.6,25.3,(X)
8031,382460,382460,266093,69.6,30409,8.0,25040,6.5,17251,4.5,13238,3.5,30429,8.0,25.4,(X)
8033,831,831,467,56.2,110,13.2,0,0.0,141,17.0,1,0.1,112,13.5,19.0,(X)
8035,174600,174600,134787,77.2,11878,6.8,3280,1.9,2042,1.2,2197,1.3,20416,11.7,27.7,(X)
8037,32977,32977,24241,73.5,2331,7.1,1667,5.1,885,2.7,533,1.6,3320,10.1,22.7,(X)
8039,13263,13263,10635,80.2,1108,8.4,9,0.1,118,0.9,121,0.9,1272,9.6,39.7,(X)
8041,337619,337619,261235,77.4,35088,10.4,2556,0.8,12090,3.6,4911,1.5,21739,6.4,23.4,(X)
8043,14025,14025,11323,80.7,1504,10.7,33,0.2,202,1.4,231,1.6,732,5.2,23.1,(X)
8045,30862,30862,22347,72.4,3296,10.7,1184,3.8,917,3.0,841,2.7,2277,7.4,32.3,(X)
8047,3589,3589,2638,73.5,305,8.5,18,0.5,73,2.0,42,1.2,513,14.3,35.6,(X)
8049,8403,8403,5584,66.5,845,10.1,290,3.5,500,6.0,181,2.2,1003,11.9,23.5,(X)
8051,9284,9284,5387,58.0,939,10.1,409,4.4,1474,15.9,652,7.0,423,4.6,14.7,(X)
8053,393,393,280,71.2,25,6.4,0,0.0,61,15.5,11,2.8,16,4.1,13.1,(X)
8055,2506,2506,1744,69.6,283,11.3,3,0.1,175,7.0,30,1.2,271,10.8,24.8,(X)
8057,672,672,409,60.9,33,4.9,0,0.0,90,13.4,24,3.6,116,17.3,29.8,(X)
8059,308470,308470,241051,78.1,22256,7.2,10458,3.4,4635,1.5,4246,1.4,25824,8.4,27.7,(X)
8061,663,663,535,80.7,11,1.7,3,0.5,60,9.0,32,4.8,22,3.3,14.3,(X)
8063,3435,3435,2489,72.5,450,13.1,28,0.8,197,5.7,23,0.7,248,7.2,11.9,(X)
8065,4087,4087,2742,67.1,549,13.4,24,0.6,331,8.1,147,3.6,294,7.2,29.0,(X)
8067,28916,28916,21532,74.5,2227,7.7,206,0.7,1608,5.6,970,3.4,2373,8.2,21.5,(X)
8069,174527,174527,130940,75.0,15008,8.6,2567,1.5,4615,2.6,7403,4.2,13994,8.0,23.2,(X)
8071,5844,5844,4241,72.6,724,12.4,48,0.8,322,5.5,38,0.7,471,8.1,20.4,(X)
8073,1503,1503,1062,70.7,200,13.3,0,0.0,66,4.4,34,2.3,141,9.4,17.5,(X)
8075,10428,10428,8003,76.7,1199,11.5,59,0.6,532,5.1,80,0.8,555,5.3,17.8,(X)
8077,68296,68296,53532,78.4,5910,8.7,305,0.4,2135,3.1,1962,2.9,4452,6.5,20.2,(X)
8079,412,412,202,49.0,45,10.9,0,0.0,106,25.7,10,2.4,49,11.9,13.2,(X)
8081,6185,6185,4652,75.2,981,15.9,52,0.8,267,4.3,41,0.7,192,3.1,23.7,(X)
8083,10943,10943,8889,81.2,898,8.2,3,0.0,274,2.5,103,0.9,776,7.1,20.3,(X)
8085,16970,16970,13376,78.8,1966,11.6,54,0.3,361,2.1,211,1.2,1002,5.9,18.3,(X)
8087,12891,12891,9347,72.5,2372,18.4,11,0.1,434,3.4,142,1.1,585,4.5,18.6,(X)
8089,6838,6838,5379,78.7,723,10.6,21,0.3,256,3.7,159,2.3,300,4.4,16.8,(X)
8091,2258,2258,1416,62.7,273,12.1,0,0.0,184,8.1,52,2.3,333,14.7,27.0,(X)
8093,8925,8925,6454,72.3,1000,11.2,106,1.2,148,1.7,165,1.8,1052,11.8,38.1,(X)
8095,1984,1984,1442,72.7,289,14.6,0,0.0,150,7.6,26,1.3,77,3.9,16.1,(X)
8097,11393,11393,5957,52.3,343,3.0,1721,15.1,1167,10.2,612,5.4,1593,14.0,18.1,(X)
8099,5274,5274,4132,78.3,606,11.5,1,0.0,85,1.6,107,2.0,343,6.5,13.8,(X)
8101,66713,66713,55221,82.8,7036,10.5,656,1.0,1430,2.1,699,1.0,1671,2.5,22.0,(X)
8103,2904,2904,2004,69.0,460,15.8,28,1.0,152,5.2,68,2.3,192,6.6,17.0,(X)
8105,4338,4338,3329,76.7,490,11.3,35,0.8,197,4.5,61,1.4,226,5.2,17.2,(X)
8107,14298,14298,9671,67.6,1534,10.7,434,3.0,572,4.0,703,4.9,1384,9.7,19.7,(X)
8109,2496,2496,1724,69.1,247,9.9,37,1.5,147,5.9,49,2.0,292,11.7,18.7,(X)
8111,304,304,190,62.5,17,5.6,0,0.0,54,17.8,28,9.2,15,4.9,10.4,(X)
8113,4996,4996,2485,49.7,334,6.7,504,10.1,687,13.8,291,5.8,695,13.9,19.4,(X)
8115,940,940,661,70.3,141,15.0,0,0.0,48,5.1,14,1.5,76,8.1,20.4,(X)
8117,19406,19406,14782,76.2,712,3.7,946,4.9,875,4.5,360,1.9,1731,8.9,16.4,(X)
8119,11471,11471,8822,76.9,1146,10.0,4,0.0,223,1.9,226,2.0,1050,9.2,32.1,(X)
